subject,birthdate,deathdate,age_at_death,species,sex,social_environment,housing,diet
DM-NM-18,1987-12-17,2020-02-28,32.20,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-2,2004-10-08,,,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-20,2013-09-30,2024-03-05,10.43,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-21,2005-01-27,2019-07-01,14.43,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-24,2009-07-15,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-25,2020-10-10,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-28,2000-05-29,2014-01-22,13.65,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-30,2006-10-29,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-31,2013-07-17,,,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-32,1997-03-07,,,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-33,2018-10-06,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-34,2003-03-19,2023-12-27,20.77,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-35,2009-08-26,2022-06-01,12.77,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-36,2007-07-27,,,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-37,2016-03-02,2022-12-06,6.76,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-38,2007-03-18,2021-04-13,14.07,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-39,2016-05-20,2020-11-25,4.51,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-4,2007-07-15,,,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-40,2002-09-05,2013-06-28,10.81,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-44,2012-12-17,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-45,2000-07-19,2013-05-29,12.86,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-46,2014-12-10,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-47,2006-08-03,2010-01-02,3.42,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-48,2012-06-04,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-49,2007-11-23,2023-01-27,15.18,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-50,1996-12-03,2011-11-22,14.97,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-51,2001-06-17,2007-05-01,5.87,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-52,2010-10-09,,,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-53,2017-05-13,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-54,2012-05-29,2021-01-08,8.61,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-55,2017-03-25,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-56,2014-05-29,2021-03-29,6.83,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-58,2004-05-31,2021-09-28,17.33,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-59,2016-09-13,,,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-60,2016-02-24,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-61,1999-04-29,2016-02-08,16.77,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-62,2015-07-27,2022-12-05,7.36,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-64,2000-09-14,2009-02-07,8.40,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-65,2016-08-01,,,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-66,2014-03-06,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-68,2020-05-14,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-70,2019-07-04,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-71,2015-04-11,,,Nancy Ma's night monkey,Male,Social,Outside,Chow
DM-NM-72,1997-04-19,2017-03-08,19.89,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-76,2004-06-28,2020-06-30,16.01,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NM-9,2007-11-13,,,Nancy Ma's night monkey,Female,Social,Outside,Chow
DM-NN-2,2022-01-17,,,Hybrid: Nancy Ma's x Noisy night monkey,Female,Social,Outside,Chow
DM-Nn-1,2010-04-09,,,Noisy night monkey,Male,Social,Outside,Chow
DM-Nn-3,2014-11-23,,,Noisy night monkey,Female,Social,Outside,Chow
DM-Nn-4,2012-07-11,,,Noisy night monkey,Female,Social,Outside,Chow
DM-Nn-5,2000-03-11,2018-10-12,18.59,Noisy night monkey,Female,Social,Outside,Chow
Hd-Ab-1,1988-05-16,2011-07-15,23.17,Agile gibbon,Male,Social,Mixed,Chow
Hd-Ab-2,1990-06-25,2015-03-13,24.72,Agile gibbon,Female,Social,Mixed,Chow
Hd-Ab-4,2007-10-19,2020-12-24,13.18,Agile gibbon,Female,Social,Mixed,Chow
Hd-Ab-5,2008-09-28,,,Agile gibbon,Female,Social,Mixed,Chow
Hd-At-1,1984-01-19,1989-10-10,5.73,Angolan talapoin,Male,Social,Mixed,Chow
Hd-At-10,1975-10-29,2002-06-26,26.66,Angolan talapoin,Male,Social,Mixed,Chow
Hd-At-2,1984-01-20,1999-10-02,15.70,Angolan talapoin,Female,Social,Mixed,Chow
Hd-At-3,1986-09-20,,,Angolan talapoin,Female,Social,Mixed,Chow
Hd-At-4,1986-09-20,1996-11-11,10.14,Angolan talapoin,Female,Social,Mixed,Chow
Hd-At-5,1987-07-16,1997-08-19,10.09,Angolan talapoin,Male,Social,Mixed,Chow
Hd-At-6,1988-11-18,2015-01-29,26.20,Angolan talapoin,Male,Social,Mixed,Chow
Hd-At-8,1983-07-14,2008-12-21,25.44,Angolan talapoin,Male,Social,Mixed,Chow
Hd-At-9,1986-03-26,2004-02-12,17.88,Angolan talapoin,Male,Social,Mixed,Chow
Hd-Bc-1,1983-12-30,2009-06-17,25.47,Black-capped squirrel monkey,Female,Social,Mixed,Chow
Hd-Bc-2,1978-05-21,1999-08-29,21.27,Black-capped squirrel monkey,Female,Social,Mixed,Chow
Hd-Bc-4,1978-05-21,1999-09-06,21.29,Black-capped squirrel monkey,Female,Social,Mixed,Chow
Hd-Bc-5,1991-10-20,2016-06-07,24.63,Black-capped squirrel monkey,Female,Social,Mixed,Chow
Hd-Bk-11,1975-10-06,2021-12-21,46.21,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-12,2016-07-04,,,Black-handed spider monkey,Male,Social,Mixed,Chow
Hd-Bk-14,2019-04-25,,,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-17,1979-01-20,2006-12-18,27.91,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-18,1980-01-11,2017-08-26,37.62,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-19,1975-11-10,1999-03-03,23.31,Black-handed spider monkey,Male,Social,Mixed,Chow
Hd-Bk-2,1999-05-17,,,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-20,1988-04-11,,,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-21,1988-06-15,,,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-23,1994-02-17,,,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-24,1994-09-20,,,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-25,2000-08-16,,,Black-handed spider monkey,Male,Social,Mixed,Chow
Hd-Bk-26,1980-11-28,2010-03-16,29.30,Black-handed spider monkey,Male,Social,Mixed,Chow
Hd-Bk-27,1984-01-12,,,Black-handed spider monkey,Male,Social,Mixed,Chow
Hd-Bk-3,2000-01-03,,,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-4,2001-01-17,2007-12-16,6.92,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-5,2001-05-19,2006-11-22,5.51,Black-handed spider monkey,Male,Social,Mixed,Chow
Hd-Bk-6,1972-03-07,2001-05-03,29.16,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-7,1965-03-01,1999-12-23,34.81,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-8,2011-09-28,,,Black-handed spider monkey,Female,Social,Mixed,Chow
Hd-Bk-9,2014-02-21,,,Black-handed spider monkey,Male,Social,Mixed,Chow
Hd-Bl-1,2004-05-13,,,Black-headed spider monkey,Female,Social,Mixed,Chow
Hd-Bl-10,1992-11-10,2019-01-30,26.22,Black-headed spider monkey,Female,Social,Mixed,Chow
Hd-Bl-11,1997-01-16,2023-11-27,26.86,Black-headed spider monkey,Male,Social,Mixed,Chow
Hd-Bl-2,2012-07-09,,,Black-headed spider monkey,Male,Social,Mixed,Chow
Hd-Bl-3,1973-02-06,,,Black-headed spider monkey,Male,Social,Mixed,Chow
Hd-Bl-4,1973-02-06,1989-01-07,15.92,Black-headed spider monkey,Female,Social,Mixed,Chow
Hd-Bl-5,1973-03-04,1993-12-04,20.75,Black-headed spider monkey,Female,Social,Mixed,Chow
Hd-Bl-6,1981-02-28,1996-06-05,15.26,Black-headed spider monkey,Female,Social,Mixed,Chow
Hd-Bl-8,1984-02-16,2009-03-06,25.05,Black-headed spider monkey,Female,Social,Mixed,Chow
Hd-Bl-9,1987-04-05,1991-08-01,4.32,Black-headed spider monkey,Male,Social,Mixed,Chow
Hd-Br-1,1999-10-05,,,Bornean orangutan,Female,Social,Mixed,Chow
Hd-Bt-1,1992-05-28,1999-09-21,7.32,Bolivian gray titi,Female,Social,Mixed,Chow
Hd-Co-11,1985-10-10,1993-06-13,7.67,Cottontop tamarin,Male,Social,Mixed,Chow
Hd-Co-14,1984-05-26,1998-08-22,14.24,Cottontop tamarin,Male,Social,Mixed,Chow
Hd-Ng-1,1999-12-28,2006-03-08,6.20,Northern greater galago,Male,Social,Mixed,Chow
Hd-Ng-3,1988-09-18,2005-11-07,17.14,Northern greater galago,Male,Social,Mixed,Chow
Hd-Ng-4,1998-10-12,2021-05-21,22.61,Northern greater galago,Male,Social,Mixed,Chow
Hd-gm-1,1995-03-02,2004-09-15,9.54,Southern lesser galago,Female,Mixed,Inside,Chow
Hd-lc-1,1988-04-01,2004-08-13,16.37,Ringtailed lemur,Male,Social,Mixed,Chow
Hd-lc-2,1987-02-28,2002-09-13,15.54,Ringtailed lemur,Male,Social,Mixed,Chow
Hd-lc-3,1991-04-01,2004-02-10,12.86,Ringtailed lemur,Female,Social,Mixed,Chow
Hd-np-1,1996-01-05,2013-08-06,17.59,Southern pygmy slow loris,Female,Mixed,Inside,Chow
Hd-np-2,1999-06-20,2009-01-24,9.59,Southern pygmy slow loris,Female,Mixed,Inside,Chow
Hd-np-3,1999-06-20,2013-12-19,14.50,Southern pygmy slow loris,Female,Mixed,Inside,Chow
Hd-vv-17,1984-04-12,2006-11-01,22.55,Black and white ruffed lemur,Female,Social,Mixed,Chow
Hd-vv-4,2008-04-08,,,Black and white ruffed lemur,Male,Social,Mixed,Chow
Hd-vv-5,2008-04-08,,,Black and white ruffed lemur,Male,Social,Mixed,Chow
Hd-vv-6,2008-04-15,,,Black and white ruffed lemur,Male,Social,Mixed,Chow
Hv-Be-2,2011-05-13,,,Bearded emperor tamarin,Male,Social,Inside,Chow
Hv-Br-2,1987-07-05,,,Bornean orangutan,Male,Social,Mixed,Chow
Hv-Cg-1,2006-12-30,2014-11-22,7.90,White-fronted marmoset,Male,Social,Inside,Chow
Hv-Cg-10,2017-04-18,2023-09-25,6.44,White-fronted marmoset,Female,Social,Inside,Chow
Hv-Cg-2,2008-04-08,,,White-fronted marmoset,Female,Social,Inside,Chow
Hv-Cg-3,2011-10-17,2015-02-03,3.30,White-fronted marmoset,Male,Social,Inside,Chow
Hv-Cg-4,2011-10-17,2018-10-05,6.97,White-fronted marmoset,Female,Social,Inside,Chow
Hv-Cg-5,2012-07-01,,,White-fronted marmoset,Male,Social,Inside,Chow
Hv-Cg-6,2012-07-01,,,White-fronted marmoset,Male,Social,Inside,Chow
Hv-Cg-7,2011-11-21,,,White-fronted marmoset,Male,Social,Inside,Chow
Hv-Cg-8,2016-08-31,,,White-fronted marmoset,Male,Social,Inside,Chow
Hv-Cg-9,2017-04-18,2020-07-16,3.24,White-fronted marmoset,Female,Social,Inside,Chow
Hv-Ch-1,1982-05-10,2013-03-06,30.82,Chimpanzee,Male,Social,Mixed,Chow
Hv-Ch-2,1983-03-03,,,Chimpanzee,Female,Social,Mixed,Chow
Hv-Ch-3,1991-02-05,,,Chimpanzee,Female,Social,Mixed,Chow
Hv-Ch-4,1990-04-11,1996-08-30,6.39,Chimpanzee,Female,Social,Mixed,Chow
Hv-Ch-5,1989-10-23,2011-01-09,21.21,Chimpanzee,Male,Social,Mixed,Chow
Hv-Co-1,1985-06-04,2006-02-27,20.73,Cottontop tamarin,Female,Social,Inside,Chow
Hv-Co-2,1999-03-07,2010-09-08,11.50,Cottontop tamarin,Male,Social,Inside,Chow
Hv-Eb-1,1991-06-30,2009-10-14,18.29,Eastern black and white colobus,Female,Social,Mixed,Chow
Hv-Eb-2,1992-10-03,2016-08-28,23.90,Eastern black and white colobus,Male,Social,Mixed,Chow
Hv-Eb-3,1994-01-21,2021-10-01,27.70,Eastern black and white colobus,Female,Social,Mixed,Chow
Hv-Eb-4,1996-11-30,,,Eastern black and white colobus,Male,Social,Mixed,Chow
Hv-Eb-5,1998-10-30,2006-10-31,8.00,Eastern black and white colobus,Female,Social,Mixed,Chow
Hv-Gl-1,2002-03-12,2015-11-25,13.70,Golden lion tamarin,Female,Social,Inside,Chow
Hv-Gl-2,2001-03-24,2018-02-16,16.90,Golden lion tamarin,Male,Social,Inside,Chow
Hv-Gl-3,2011-02-19,,,Golden lion tamarin,Female,Social,Inside,Chow
Hv-Gl-4,2017-02-06,,,Golden lion tamarin,Male,Social,Inside,Chow
Hv-Gs-1,1979-06-22,2008-02-19,28.66,Guianan squirrel monkey,Female,Social,Mixed,Chow
Hv-Gs-2,1984-08-04,2009-09-23,25.14,Guianan squirrel monkey,Female,Social,Mixed,Chow
Hv-Gs-3,1980-07-13,2018-11-15,38.34,Guianan squirrel monkey,Female,Social,Mixed,Chow
Hv-Lg-1,1984-04-28,,,Lar gibbon,Female,Social,Mixed,Chow
Hv-Lg-2,1986-12-21,,,Lar gibbon,Male,Social,Mixed,Chow
Hv-Ng-1,2011-04-05,,,Northern greater galago,Female,Social,Inside,Chow
Hv-Ng-2,2012-03-03,2022-02-15,9.95,Northern greater galago,Female,Social,Inside,Chow
Hv-Ng-3,2009-01-01,2017-09-20,8.72,Northern greater galago,Female,Social,Inside,Chow
Hv-Ng-4,2011-05-07,2025-10-06,14.42,Northern greater galago,Female,Social,Inside,Chow
Hv-Nw-1,1961-07-18,2016-05-20,54.84,Northwest Bornean orangutan,Female,Social,Mixed,Chow
Hv-Nw-2,1968-10-01,1996-03-22,27.47,Northwest Bornean orangutan,Female,Social,Mixed,Chow
Hv-Nw-3,1990-06-06,,,Northwest Bornean orangutan,Female,Social,Mixed,Chow
Hv-Nw-4,1989-07-08,,,Northwest Bornean orangutan,Male,Social,Mixed,Chow
Hv-Nw-5,2001-02-07,,,Northwest Bornean orangutan,Female,Social,Mixed,Chow
Hv-Nw-6,1971-07-10,2011-11-06,40.32,Northwest Bornean orangutan,Female,Social,Mixed,Chow
Hv-Nw-7,2004-01-29,,,Northwest Bornean orangutan,Male,Social,Mixed,Chow
Hv-Pi-1,1977-04-26,,,Pigtail macaque,Male,Mixed,Mixed,Chow
Hv-Wc-1,1991-04-08,,,Western chimpanzee,Female,Social,Mixed,Chow
Hv-lc-1,2012-03-24,,,Ringtailed lemur,Female,Social,Mixed,Chow
Hv-lc-2,2002-03-26,,,Ringtailed lemur,Female,Social,Mixed,Chow
Hv-lc-3,2006-03-27,,,Ringtailed lemur,Female,Social,Mixed,Chow
Hv-lc-4,2008-03-13,,,Ringtailed lemur,Male,Social,Mixed,Chow
Hv-lc-5,2012-03-23,,,Ringtailed lemur,Female,Social,Mixed,Chow
Hv-lc-6,2013-04-08,,,Ringtailed lemur,Female,Social,Mixed,Chow
Hv-lc-7,2013-05-28,2019-03-28,5.83,Ringtailed lemur,Male,Social,Mixed,Chow
Hv-lc-8,1997-05-15,2024-03-01,26.80,Ringtailed lemur,Male,Social,Mixed,Chow
Hv-lc-9,1997-05-23,2015-04-12,17.89,Ringtailed lemur,Male,Social,Mixed,Chow
Hv-vv-1,2010-04-22,,,Black and white ruffed lemur,Female,Social,Inside,Chow
Hv-vv-2,2010-04-22,,,Black and white ruffed lemur,Female,Social,Inside,Chow
Hv-vv-3,2011-05-03,,,Black and white ruffed lemur,Male,Social,Inside,Chow
Hv-vv-4,2018-03-23,,,Black and white ruffed lemur,Male,Social,Inside,Chow
Hv-vv-5,2018-03-23,,,Black and white ruffed lemur,Male,Social,Inside,Chow
Hv-vv-6,2018-03-28,2024-10-06,6.52,Black and white ruffed lemur,Female,Social,Inside,Chow
Hv-vv-7,2018-03-28,,,Black and white ruffed lemur,Female,Social,Inside,Chow
Hv-vv-8,2018-03-28,,,Black and white ruffed lemur,Male,Social,Inside,Chow
Il-Rh-1,1980-06-01,,,Rhesus Indian-derived macaque,Female,Social,Inside,Chow
Il-Rh-2,1983-08-04,,,Rhesus Indian-derived macaque,Female,Social,Inside,Chow
Il-Rh-3,1982-06-01,,,Rhesus Indian-derived macaque,Female,Individual,Inside,Chow
Il-Rh-4,1980-06-01,,,Rhesus Indian-derived macaque,Female,Individual,Inside,Chow
Il-Rh-5,1972-01-01,,,Rhesus Indian-derived macaque,Male,Individual,Inside,Chow
Il-Rh-6,1981-01-05,,,Rhesus Indian-derived macaque,Male,Individual,Inside,Chow
Il-Rh-7,1984-04-29,,,Rhesus Indian-derived macaque,Female,Individual,Inside,Chow
Il-Rh-8,1975-06-03,,,Rhesus Indian-derived macaque,Male,Individual,Inside,Chow
Na-Br-3,1987-11-24,,,Bornean orangutan,Male,Mixed,Unknown,Other
Na-Cr-1,1989-06-15,2011-01-05,21.55,Crested (black) macaque,Male,Mixed,Unknown,Other
Na-Cr-11,1980-10-28,1991-04-05,10.44,Crested (black) macaque,Male,Social,Mixed,Chow
Na-Cr-2,1969-01-01,2004-04-26,35.32,Crested (black) macaque,Female,Mixed,Unknown,Other
Na-Cr-3,1989-11-29,2011-11-02,21.92,Crested (black) macaque,Female,Mixed,Unknown,Other
Na-Cr-4,1991-06-06,2007-04-03,15.82,Crested (black) macaque,Male,Mixed,Unknown,Other
Na-Cr-5,1990-10-31,2005-07-29,14.75,Crested (black) macaque,Female,Mixed,Unknown,Other
Na-Cr-6,1986-12-09,2001-02-22,14.20,Crested (black) macaque,Female,Mixed,Unknown,Other
Na-Cr-7,1986-01-03,,,Crested (black) macaque,Female,Mixed,Unknown,Other
Na-Cr-8,1979-06-15,2000-04-07,20.81,Crested (black) macaque,Male,Mixed,Unknown,Other
Na-Cr-9,1987-03-17,2014-07-17,27.33,Crested (black) macaque,Male,Mixed,Unknown,Other
Na-Gh-1,1986-12-21,2000-09-20,13.75,Golden-headed lion tamarin,Male,Mixed,Unknown,Other
Na-Gh-2,1988-02-12,2000-10-17,12.68,Golden-headed lion tamarin,Male,Mixed,Unknown,Other
Na-Gh-20,2008-12-28,2018-05-25,9.41,Golden-headed lion tamarin,Male,Social,Inside,Chow
Na-Gh-3,1989-08-01,2002-01-15,12.46,Golden-headed lion tamarin,Male,Mixed,Unknown,Other
Na-Gh-4,1989-08-01,2000-10-19,11.22,Golden-headed lion tamarin,Female,Mixed,Unknown,Other
Na-Gh-5,1982-09-14,2005-12-22,23.27,Golden-headed lion tamarin,Female,Mixed,Unknown,Other
Na-Gh-6,1980-09-14,2005-09-30,25.04,Golden-headed lion tamarin,Male,Mixed,Unknown,Other
Na-Gi-1,1983-05-19,2010-11-29,27.53,Northern white-cheeked gibbon,Female,Mixed,Mixed,Other
Na-Gi-10,1996-09-22,,,Northern white-cheeked gibbon,Female,Mixed,Unknown,Other
Na-Gi-11,1997-02-02,,,Northern white-cheeked gibbon,Male,Mixed,Unknown,Other
Na-Gi-2,1968-09-24,2009-11-12,41.13,Northern white-cheeked gibbon,Male,Mixed,Unknown,Other
Na-Gi-3,1973-07-09,2008-02-02,34.57,Northern white-cheeked gibbon,Male,Mixed,Unknown,Other
Na-Gi-4,1970-07-28,2013-04-08,42.70,Northern white-cheeked gibbon,Female,Mixed,Unknown,Other
Na-Gi-5,1982-11-14,2010-06-23,27.61,Northern white-cheeked gibbon,Male,Mixed,Unknown,Other
Na-Gi-6,1990-08-30,2004-09-14,14.04,Northern white-cheeked gibbon,Female,Mixed,Unknown,Other
Na-Gi-7,1993-06-10,,,Northern white-cheeked gibbon,Female,Mixed,Unknown,Other
Na-Gi-8,1993-08-11,2013-12-02,20.31,Northern white-cheeked gibbon,Male,Mixed,Unknown,Other
Na-Gi-9,1994-03-01,,,Northern white-cheeked gibbon,Male,Mixed,Unknown,Other
Na-Gl-1,1996-03-07,2010-12-30,14.81,Golden lion tamarin,Female,Mixed,Unknown,Other
Na-Gl-2,1998-05-08,2009-06-23,11.12,Golden lion tamarin,Female,Mixed,Unknown,Other
Na-Gl-3,1998-05-08,1999-09-06,1.33,Golden lion tamarin,Female,Mixed,Unknown,Other
Na-Gl-4,1998-05-08,2008-08-25,10.30,Golden lion tamarin,Female,Mixed,Unknown,Other
Na-Gl-5,1997-12-25,,,Golden lion tamarin,Female,Mixed,Unknown,Other
Na-Gl-55,2000-04-29,2014-03-24,13.90,Golden lion tamarin,Male,Social,Inside,Chow
Na-Gl-6,1997-12-25,2008-12-06,10.95,Golden lion tamarin,Male,Mixed,Unknown,Other
Na-Gl-7,1996-04-23,2015-11-23,19.58,Golden lion tamarin,Male,Mixed,Unknown,Other
Na-Gl-8,1988-03-19,2007-07-27,19.36,Golden lion tamarin,Male,Mixed,Unknown,Other
Na-Gl-9,1991-08-09,2006-02-02,14.48,Golden lion tamarin,Female,Mixed,Unknown,Other
Na-Go-1,1954-01-23,1990-07-23,36.50,Western lowland gorilla,Male,Mixed,Unknown,Other
Na-Go-10,1972-05-29,2006-07-03,34.10,Western lowland gorilla,Male,Mixed,Unknown,Other
Na-Go-3,1997-03-13,,,Western lowland gorilla,Male,Mixed,Unknown,Other
Na-Go-4,1994-05-30,,,Western lowland gorilla,Female,Mixed,Mixed,Other
Na-Go-5,1992-04-11,,,Western lowland gorilla,Male,Mixed,Unknown,Other
Na-Go-6,1967-07-01,2011-03-17,43.71,Western lowland gorilla,Female,Mixed,Unknown,Other
Na-Go-7,1955-02-09,2000-04-13,45.18,Western lowland gorilla,Female,Mixed,Unknown,Other
Na-Go-8,1982-04-05,,,Western lowland gorilla,Female,Mixed,Unknown,Other
Na-Go-9,1983-06-11,2006-07-01,23.05,Western lowland gorilla,Male,Mixed,Unknown,Other
Na-Og-3,1987-04-15,,,Orangutan,Female,Mixed,Unknown,Other
Na-Og-4,1983-02-23,1999-10-18,16.65,Orangutan,Male,Mixed,Unknown,Other
Na-Og-5,1976-12-29,,,Orangutan,Female,Mixed,Unknown,Other
Na-Og-6,1966-04-02,2003-02-16,36.87,Orangutan,Male,Mixed,Mixed,Other
Na-Og-8,1980-08-12,2004-11-11,24.25,Orangutan,Female,Mixed,Unknown,Other
Na-Py-1,1998-04-28,,,Pygmy marmoset,Female,Mixed,Unknown,Other
Na-Py-2,1997-11-21,,,Pygmy marmoset,Male,Mixed,Unknown,Other
Na-Py-3,1997-06-17,2004-06-24,7.02,Pygmy marmoset,Female,Mixed,Unknown,Other
Na-Py-4,1997-06-17,2004-09-12,7.24,Pygmy marmoset,Male,Mixed,Unknown,Other
Na-Py-5,1995-03-09,2001-12-18,6.77,Pygmy marmoset,Male,Mixed,Unknown,Other
Na-Py-6,1993-03-06,2003-01-11,9.85,Pygmy marmoset,Male,Mixed,Unknown,Other
Na-Py-7,1992-10-28,2003-01-05,10.19,Pygmy marmoset,Male,Mixed,Unknown,Other
Na-Py-8,1991-08-25,,,Pygmy marmoset,Male,Mixed,Unknown,Other
Na-Su-1,1967-10-19,2000-07-28,32.77,Sumatran orangutan,Female,Mixed,Unknown,Other
Na-Su-2,1977-12-14,,,Sumatran orangutan,Male,Mixed,Unknown,Other
Na-vr-4,2016-04-05,,,Red-ruffed lemur,Female,Social,Inside,Chow
Ne-Ao-1,1980-01-20,1988-08-06,8.55,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-10,1984-01-03,1988-11-16,4.87,Owl monkey,Female,Individual,Inside,Chow
Ne-Ao-11,1980-03-12,1988-04-19,8.10,Owl monkey,Female,Social,Inside,Chow
Ne-Ao-12,1976-10-08,1994-11-01,18.07,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-13,1980-06-05,1991-04-22,10.88,Owl monkey,Female,Individual,Inside,Chow
Ne-Ao-14,1986-04-22,1993-03-02,6.86,Owl monkey,Female,Social,Inside,Chow
Ne-Ao-15,1976-06-08,1989-12-08,13.50,Owl monkey,Female,Social,Inside,Chow
Ne-Ao-16,1982-02-04,1990-02-21,8.05,Owl monkey,Female,Individual,Inside,Chow
Ne-Ao-17,1976-08-17,1993-04-27,16.69,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-18,1978-10-28,1990-01-30,11.26,Owl monkey,Male,Individual,Inside,Chow
Ne-Ao-19,1987-05-06,1991-03-10,3.84,Owl monkey,Female,Social,Inside,Chow
Ne-Ao-2,1981-11-13,1986-09-05,4.81,Owl monkey,Female,Individual,Inside,Chow
Ne-Ao-20,1984-10-10,,,Owl monkey,Male,Individual,Inside,Chow
Ne-Ao-21,1982-09-02,1994-04-14,11.62,Owl monkey,Female,Individual,Inside,Chow
Ne-Ao-22,1982-05-04,1989-02-24,6.80,Owl monkey,Female,Social,Inside,Chow
Ne-Ao-23,1986-04-06,1988-06-18,2.20,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-24,1976-08-17,1992-09-02,16.04,Owl monkey,Female,Social,Inside,Chow
Ne-Ao-25,1978-10-25,1991-05-14,12.55,Owl monkey,Male,Individual,Inside,Chow
Ne-Ao-26,1980-04-07,1988-12-17,8.69,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-27,1976-05-25,1993-01-22,16.66,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-28,1987-03-01,1993-04-27,6.15,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-29,1985-03-26,1994-11-15,9.64,Owl monkey,Male,Individual,Inside,Chow
Ne-Ao-3,1986-02-09,1988-04-13,2.18,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-30,1986-11-10,1992-12-04,6.07,Owl monkey,Female,Individual,Inside,Chow
Ne-Ao-31,1985-09-24,1988-10-13,3.05,Owl monkey,Male,Individual,Inside,Chow
Ne-Ao-32,1980-06-05,1990-03-08,9.76,Owl monkey,Male,Individual,Inside,Chow
Ne-Ao-33,1985-09-29,1990-09-06,4.94,Owl monkey,Female,Individual,Inside,Chow
Ne-Ao-34,1985-12-21,1994-11-15,8.90,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-35,1977-09-29,1994-11-15,17.13,Owl monkey,Male,Individual,Inside,Chow
Ne-Ao-36,1982-03-05,1988-05-26,6.22,Owl monkey,Male,Social,Inside,Chow
Ne-Ao-37,1974-06-27,1990-09-01,16.18,Owl monkey,Male,Social,Inside,Chow
